name,category,subcategory,craft_time_sec,output_qty,materials
咻咻蘑菇汁液,材料,藥品,20分,5,咻咻蘑菇孢子:10;裝水的瓶子:1
淨淨蘑菇孢子,材料,藥品,25分,15,淨淨蘑菇:30;紙:3
淨淨蘑菇汁液,材料,藥品,50分,5,淨淨蘑菇孢子:10;裝水的瓶子:1
增幅蘑菇孢子,材料,藥品,30分,15,增幅蘑菇:30;紙:3
增幅蘑菇汁液,材料,藥品,1小時30分,5,增幅蘑菇孢子:10;咻咻蘑菇汁液:10
躲躲花粉末,材料,藥品,15分,5,躲躲花:20
傷痕花粉末,材料,藥品,25分,5,傷痕花:20
光輝結晶,材料,藥品,10分,3,幽靈螢火蟲:3;魔力藥草:10;黏土:3
火苗結晶,材料,藥品,10分,3,夕陽蝴蝶:3;魔力藥草:10;黏土:3
冰霜結晶,材料,藥品,10分,3,白雙金龜子:3;魔力藥草:10;黏土:3
電氣結晶,材料,藥品,10分,3,落葉蛾:3;魔力藥草:10;黏土:3
魔力起爆劑,材料,藥品,1小時17分30秒,10,蘊含魔力的石頭:50;魔力藥草:50;閃閃發亮的苔蘚:25
封印的憤怒碎片,材料,藥品,1小時17分30秒,1,憤怒的碎片:10;紙:10;封印結晶:5
封印的遺忘碎片,材料,藥品,1小時17分30秒,1,遺忘的碎片:10;紙:10;封印結晶:5
封印的野性碎片,材料,藥品,1小時17分30秒,1,野性的碎片:10;紙:10;封印結晶:5
美乃滋,材料,食材,45,3,雞蛋:10;食用油:2
麵粉,材料,食材,10分,3,小麥:15
起司,材料,食材,10分,3,牛奶:6;鹽:1
麵,材料,食材,25分,3,麵粉:3;雞蛋:5;裝水的瓶子:1
鮮奶油,材料,食材,25分,3,牛奶:12;雞蛋:6;糖:2
泡水的豆子,材料,食材,20分,5,黃豆:30;裝水的瓶子:3
豆腐,材料,食材,55分,3,泡水的豆子:3;裝水的瓶子:3;鹽:2;布料:3
豆乳,材料,食材,55分,3,泡水的豆子:3;裝水的瓶子:3;鹽:1;食用油:1
熟成的大塊肉,材料,食材,2小時30分,1,大塊肉:1;藥草:6;大蒜:2;鹽:2;胡椒:1
旅行者點心,食物,簡便,0,1,雞蛋:1;肉:1
煎蛋,食物,簡便,0,1,雞蛋:1;鹽:1
水煮蛋,食物,簡便,0,1,雞蛋:1;裝水的瓶子:1
烤肉,食物,力量,0,1,肉:4;藥草:2;鹽:1
美乃滋炒肉,食物,力量,0,1,肉:4;高麗菜:1;美乃滋:1
牛奶燉豬肉,食物,力量,0,1,肉:8;牛奶:4;大蒜:2;藥草:2
起司鍋,食物,力量,0,1,肉:8;起司:2;馬鈴薯:4;鹽:2
蒸蛤蜊,食物,力量,0,1,貝類:10;裝水的瓶子:5;檸檬:4;藥草:3
奶油醬牛排,食物,力量,0,1,肉:10;鮮奶油:2;大蒜:2;胡椒:3
沙威瑪,食物,力量,0,1,清淡的肉:10;黃豆:12;麵粉:3;高麗菜:5;檸檬:2
帕瑪森肉排,食物,力量,0,1,清淡的肉:10;起司:3;番茄:1;胡椒:1;鹽:1
烤整顆馬鈴薯,食物,技巧,0,1,馬鈴薯:4;藥草:2;糖:2
馬鈴薯沙拉,食物,技巧,0,1,馬鈴薯:4;高麗菜:2;美乃滋:1
炒蔬菜,食物,技巧,0,1,馬鈴薯:8;洋蔥:3;高麗菜:6;藥草:2
瑞可塔起司沙拉,食物,技巧,0,1,高麗菜:4;起司:2;美乃滋:1
馬鈴薯湯,食物,技巧,0,1,馬鈴薯:12;牛奶:5;藥草:3;胡椒:6
蒜香橄欖油義大利麵,食物,技巧,0,1,大蒜:7;麵:2;洋蔥:2;胡椒:2
豆腐排,食物,技巧,0,1,豆腐:5;防風草:6;大蒜:4;胡椒:3;食用油:2
豆腐麵,食物,技巧,0,1,豆腐:5;裝水的瓶子:5;洋蔥:5;白蘿蔔:1;鹽:3
蘋果汁,食物,智力,0,1,蘋果:4;藥草:2;裝水的瓶子:1;糖:2
蘋果沙拉,食物,智力,0,1,蘋果:4;高麗菜:2;美乃滋:1
起司玉米,食物,智力,0,1,玉米:10;起司:2;藥草:2;糖:3
蘋果舒芙蕾,食物,智力,0,1,蘋果:8;麵粉:2;雞蛋:4;糖:4
冰草莓飲,食物,智力,0,1,冰:10;草莓:6;藥草:3;糖:4
蘋果鮮奶油蛋糕,食物,智力,0,1,蘋果:12;鮮奶油:2;麵粉:4;糖:9
豆乳刨冰,食物,智力,0,1,豆乳:4;冰:10;檸檬:2;糖:6;藥草:3
豆乳防風草蛋糕,食物,智力,0,1,豆乳:4;防風草:6;鮮奶油:2;麵粉:4;糖:9
白肉魚奶油煎魚,食物,共享,0,1,布雷夫尼鯉魚:5;銀鯽魚:3;馬鈴薯:5;麵粉:3;檸檬:5;鹽:3
馬賽魚湯,食物,共享,0,1,彩虹鱒魚:4;香魚:4;番茄:6;貝類:5;洋蔥:2;大蒜:4
鯖魚與鮭魚排,食物,共享,0,1,鯖魚:5;鮭魚:3;美乃滋:2;蘆筍:4;鹽:2;胡椒:3
鯰魚炸魚薯條,食物,共享,0,1,鯰魚:6;馬鈴薯:6;麵粉:3;豌豆:4;檸檬:2;鹽:3
鱸魚辣魚湯,食物,共享,0,1,鱸魚:6;白蘿蔔:4;洋蔥:6;裝水的瓶子:5;辣椒粉:4;胡椒:2
大盛宴：不滅之火的紅酒燉牛肉,食物,共享,0,1,盛宴材料：不滅之火:4;熟成的大塊肉:8;厚實的馬鈴薯:24;番茄:16;洋蔥:16;防風草:16;鹽:4
暴擊秘藥,道具,強化,0,3,四葉草:10;咻咻蘑菇汁液:3;錢幣瓢蟲:6;煉金術碎屑:10
絕招秘藥,道具,強化,0,3,毅力草:10;咻咻蘑菇汁液:3;白花蝶:6;煉金術碎屑:10
傷害減少秘藥,道具,強化,0,3,血紅藥草:10;咻咻蘑菇汁液:3;獨角仙:6;煉金術碎屑:10
移動速度秘藥,道具,強化,0,3,箭花:10;咻咻蘑菇汁液:3;滴答螢火蟲:6;煉金術碎屑:10
高級暴擊秘藥,道具,強化,0,3,暴擊秘藥:9;淨淨蘑菇汁液:5;廢墟的魔力石:1;煉金術碎屑:20
高級絕招秘藥,道具,強化,0,3,絕招秘藥:9;淨淨蘑菇汁液:5;廢墟的魔力石:1;煉金術碎屑:20
高級傷害減少秘藥,道具,強化,0,3,傷害減少秘藥:9;淨淨蘑菇汁液:5;廢墟的魔力石:1;煉金術碎屑:20
高級移動速度秘藥,道具,強化,0,3,移動速度秘藥:9;淨淨蘑菇汁液:5;廢墟的魔力石:1;煉金術碎屑:20
強擊強化秘藥,道具,強化,0,3,血紅藥草:10;淨淨蘑菇汁液:3;獨角仙:10;煉金術碎屑:10
連擊強化秘藥,道具,強化,0,3,箭花:10;淨淨蘑菇汁液:3;滴答螢火蟲:10;煉金術碎屑:10
廣域強化秘藥,道具,強化,0,3,魔力藥草:10;淨淨蘑菇汁液:3;白花蝶:10;煉金術碎屑:10
高級強擊強化秘藥,道具,強化,0,3,強擊強化秘藥:5;增幅蘑菇汁液:5;礦山的魔力石:6;煉金術碎屑:20
高級連擊強化秘藥,道具,強化,0,3,連擊強化秘藥:5;增幅蘑菇汁液:5;礦山的魔力石:6;煉金術碎屑:20
高級廣域強化秘藥,道具,強化,0,3,廣域強化秘藥:5;增幅蘑菇汁液:5;礦山的魔力石:6;煉金術碎屑:20
混合強化秘藥(山崩),道具,強化,0,2,強擊強化秘藥:3;連擊強化秘藥:3;強化祕藥乳化劑:6;生命的魔力石:10;憤怒的碎片:20
混合強化秘藥(風暴),道具,強化,0,2,強擊強化秘藥:3;廣域強化秘藥:3;強化祕藥乳化劑:6;生命的魔力石:10;遺忘的碎片:20
混合強化秘藥(怒濤),道具,強化,0,2,連擊強化秘藥:3;廣域強化秘藥:3;強化祕藥乳化劑:6;生命的魔力石:10;野性的碎片:20
高級混合強化秘藥(山崩),道具,強化,0,2,高級強擊強化秘藥:3;高級連擊強化秘藥:3;強化祕藥乳化劑:10;生命的魔力石:25;憤怒的碎片:60
高級混合強化秘藥(風暴),道具,強化,0,2,高級強擊強化秘藥:3;高級廣域強化秘藥:3;強化祕藥乳化劑:10;生命的魔力石:25;遺忘的碎片:60
高級混合強化秘藥(怒濤),道具,強化,0,2,高級連擊強化秘藥:3;高級廣域強化秘藥:3;強化祕藥乳化劑:10;生命的魔力石:25;野性的碎片:60
恢復藥水,道具,恢復,0,5,血紅藥草:2;新芽蘑菇:2
繃帶,道具,恢復,0,10,布料:2
自動恢復藥水,道具,恢復,0,5,恢復藥水:5;分解的裝備零件:2
高級恢復藥水,道具,恢復,0,5,血紅藥草:6;新芽蘑菇汁液:5;咻咻蘑菇:2
高級自動恢復藥水,道具,恢復,0,5,高級恢復藥水:5;分解的裝備零件:10
耐熱繃帶,道具,恢復,0,5,繃帶:5;壯壯蘑菇粉末:3;火苗結晶:1
防寒繃帶,道具,恢復,0,5,繃帶:5;壯壯蘑菇粉末:3;冰霜結晶:1
絕緣繃帶,道具,恢復,0,5,繃帶:5;壯壯蘑菇粉末:3;電氣結晶:1
祝福繃帶,道具,恢復,0,5,繃帶:5;壯壯蘑菇粉末:3;光輝結晶:1
封印繃帶,道具,恢復,0,5,繃帶:5;壯壯蘑菇粉末:3;封印結晶:1
最高級恢復藥水,道具,恢復,0,5,血紅藥草:12;淨淨蘑菇:6;躲躲花:6
高級繃帶,道具,恢復,0,10,高級布料:2
最高自動恢復藥水,道具,恢復,0,5,最高級恢復藥水:5;分解的裝備零件:60
高級耐熱繃帶,道具,恢復,0,5,高級繃帶:5;躲躲花粉末:6;火苗結晶:2
高級防寒繃帶,道具,恢復,0,5,高級繃帶:5;躲躲花粉末:6;冰霜結晶:2
高級絕緣繃帶,道具,恢復,0,5,高級繃帶:5;躲躲花粉末:6;電氣結晶:2
高級祝福繃帶,道具,恢復,0,5,高級繃帶:5;躲躲花粉末:6;光輝結晶:2
高級封印繃帶,道具,恢復,0,5,高級繃帶:5;躲躲花粉末:6;封印結晶:2
卓越恢復藥水,道具,恢復,0,5,血紅藥草:16;淨淨蘑菇汁液:5;生命的魔力石:2
卓越自動恢復藥水,道具,恢復,0,5,卓越恢復藥水:5;分解的裝備零件:120
卓越繃帶,道具,恢復,0,5,高級布料+:5;傷痕花粉末:6;火苗結晶:10;冰霜結晶:10;電氣結晶:10;光輝結晶:10;封印結晶:10
染色劑,道具,染色劑,0,1,裝水的瓶子:3;染色劑基底:10
擠著吃的點心,道具,其他食物,0,1,肉:3;藥草:1;裝水的瓶子:1
魔法榴彈部件,道具,魔法榴彈,0,5,分解的裝備零件:50;魔力藥草:10;峽谷的魔力石:1;煉金術碎屑:50
火焰魔法榴彈,道具,魔法榴彈,0,3,火苗結晶:3;魔法榴彈部件:3
閃電魔法榴彈,道具,魔法榴彈,0,3,電氣結晶:3;魔法榴彈部件:3
風魔法榴彈,道具,魔法榴彈,0,3,凝聚的風:3;魔法榴彈部件:3
酸蝕魔法榴彈,道具,魔法榴彈,0,3,毒囊:3;魔法榴彈部件:3
高級魔法榴彈部件,道具,魔法榴彈,0,5,魔法榴彈部件:5;魔力起爆劑:25;峽谷的魔力石:24;煉金術碎屑:100
高級火焰魔法榴彈,道具,魔法榴彈,0,3,火苗結晶:9;高級魔法榴彈部件:3
高級閃電魔法榴彈,道具,魔法榴彈,0,3,電氣結晶:9;高級魔法榴彈部件:3
高級風魔法榴彈,道具,魔法榴彈,0,3,凝聚的風:9;高級魔法榴彈部件:3
高級酸蝕魔法榴彈,道具,魔法榴彈,0,3,毒囊:9;高級魔法榴彈部件:3
高級魔法榴彈部件,道具,魔法榴彈,0,5,分解的裝備零件:150;魔力起爆劑:15;曠野的魔力石:25;煉金術碎屑:50
釘子,道具,一般材料,0,10,鐵錠:2
營火套組,道具,營火,0,1,樹枝:5;原木:2
熟練營火套組,道具,營火,0,1,樹枝:5;高級原木:4;石塊:10
專業營火套組,道具,營火,0,1,樹枝:5;高級原木+:4;石塊:10
